epoch,accuracy,auc_2,categorical_accuracy,false_negatives_2,false_positives_2,loss,precision_2,recall_2,top_5_categorical_accuracy,true_negatives_2,true_positives_2,val_accuracy,val_auc_2,val_categorical_accuracy,val_false_negatives_2,val_false_positives_2,val_loss,val_precision_2,val_recall_2,val_top_5_categorical_accuracy,val_true_negatives_2,val_true_positives_2
0,0.4949416220188141,0.9469261765480042,0.4949416220188141,10314.0,2597.0,1.726815104484558,0.595356822013855,0.27032190561294556,0.876689076423645,690018.0,3821.0,0.4448217451572418,0.943015456199646,0.4448217451572418,2614.0,865.0,1.7496479749679565,0.5154061913490295,0.2603282332420349,0.8766270279884338,172301.0,920.0
1,0.5423417091369629,0.9573972225189209,0.5423417091369629,9235.0,2708.0,1.528051733970642,0.644058883190155,0.34665724635124207,0.8974177837371826,689907.0,4900.0,0.5311262011528015,0.9542531967163086,0.5311262011528015,2308.0,811.0,1.5638960599899292,0.6018654704093933,0.34691566228866577,0.8986983299255371,172355.0,1226.0
2,0.569791316986084,0.9613116383552551,0.569791316986084,8512.0,2862.0,1.451270341873169,0.6626988649368286,0.397806853055954,0.9051291346549988,689753.0,5623.0,0.4770798087120056,0.9397580623626709,0.4770798087120056,2339.0,1033.0,1.7961041927337646,0.5363554954528809,0.3381437361240387,0.8839841485023499,172133.0,1195.0
3,0.5775734186172485,0.9638258218765259,0.5775734186172485,8184.0,2894.0,1.410936951637268,0.6728094816207886,0.42101168632507324,0.9086664319038391,689721.0,5951.0,0.5155631303787231,0.9341012835502625,0.5155631303787231,2058.0,1116.0,1.931767225265503,0.5694444179534912,0.4176570475101471,0.8766270279884338,172050.0,1476.0
4,0.5900955200195312,0.9666084051132202,0.5900955200195312,7852.0,2975.0,1.3713279962539673,0.678656280040741,0.4444994628429413,0.9131234288215637,689640.0,6283.0,0.5902659893035889,0.9670626521110535,0.5902659893035889,1756.0,969.0,1.3572449684143066,0.647251546382904,0.5031126141548157,0.914544403553009,172197.0,1778.0
5,0.6038203239440918,0.9676562547683716,0.6038203239440918,7543.0,2991.0,1.3259702920913696,0.6878848075866699,0.46636009216308594,0.917014479637146,689624.0,6592.0,0.5582908987998962,0.9452796578407288,0.5582908987998962,2174.0,741.0,1.842077374458313,0.6473107933998108,0.38483303785324097,0.9046406149864197,172425.0,1360.0
6,0.6118853688240051,0.9704611301422119,0.6118853688240051,7289.0,2924.0,1.2900258302688599,0.700716495513916,0.4843296706676483,0.921400785446167,689691.0,6846.0,0.47679683566093445,0.9382134079933167,0.47679683566093445,2475.0,737.0,1.8755674362182617,0.589643657207489,0.29966044425964355,0.8571024537086487,172429.0,1059.0
7,0.6189600229263306,0.971426248550415,0.6189600229263306,7182.0,2969.0,1.2644023895263672,0.7007659673690796,0.4918995499610901,0.9235231876373291,689646.0,6953.0,0.5568760633468628,0.9594423770904541,0.5568760633468628,2244.0,557.0,1.5170845985412598,0.6984298825263977,0.36502546072006226,0.8904923796653748,172609.0,1290.0
8,0.6223558783531189,0.9733625650405884,0.6223558783531189,7059.0,2870.0,1.22616708278656,0.7114418148994446,0.5006013512611389,0.9277679324150085,689745.0,7076.0,0.6066780090332031,0.971849799156189,0.6066780090332031,1845.0,701.0,1.2614784240722656,0.7066945433616638,0.47792869806289673,0.9264289736747742,172465.0,1689.0
9,0.6332507729530334,0.9744079113006592,0.6332507729530334,6780.0,2755.0,1.183586835861206,0.7274975180625916,0.5203396081924438,0.928899884223938,689860.0,7355.0,0.5981889963150024,0.9684285521507263,0.5981889963150024,1888.0,691.0,1.2861279249191284,0.7043218016624451,0.4657611846923828,0.9230334162712097,172475.0,1646.0
10,0.6453484296798706,0.9768956303596497,0.6453484296798706,6629.0,2690.0,1.138188362121582,0.7361710667610168,0.531022310256958,0.9356207847595215,689925.0,7506.0,0.6284663081169128,0.9686065316200256,0.6284663081169128,1706.0,736.0,1.2400569915771484,0.7129485011100769,0.5172609090805054,0.9179400205612183,172430.0,1828.0
11,0.656950831413269,0.978301465511322,0.656950831413269,6352.0,2623.0,1.0988985300064087,0.7479338645935059,0.5506190061569214,0.9390166401863098,689992.0,7783.0,0.6242218613624573,0.971511960029602,0.6242218613624573,1633.0,824.0,1.2071068286895752,0.6976146697998047,0.5379173755645752,0.9349179267883301,172342.0,1901.0
12,0.6667845845222473,0.9792591333389282,0.6667845845222473,6073.0,2592.0,1.059397578239441,0.7567110657691956,0.5703572630882263,0.9419879913330078,690023.0,8062.0,0.5679117441177368,0.9628113508224487,0.5679117441177368,1913.0,776.0,1.418687343597412,0.6762620210647583,0.45868703722953796,0.9069043397903442,172390.0,1621.0
13,0.6778210401535034,0.9814493656158447,0.6778210401535034,5905.0,2551.0,1.0186212062835693,0.7633799910545349,0.5822426676750183,0.9475769400596619,690064.0,8230.0,0.6120543479919434,0.9636362791061401,0.6120543479919434,1635.0,885.0,1.2980061769485474,0.6821120977401733,0.5373514294624329,0.9269949197769165,172281.0,1899.0
14,0.6816413402557373,0.9822125434875488,0.6816413402557373,5787.0,2541.0,0.9932162165641785,0.7666452527046204,0.5905907154083252,0.9511849880218506,690074.0,8348.0,0.6358234286308289,0.967955470085144,0.6358234286308289,1662.0,708.0,1.2726393938064575,0.7255814075469971,0.5297113656997681,0.9292586445808411,172458.0,1872.0
15,0.6963565349578857,0.9832178950309753,0.6963565349578857,5547.0,2512.0,0.9562968015670776,0.7736936807632446,0.6075698733329773,0.9513972401618958,690103.0,8588.0,0.6553480625152588,0.974155604839325,0.6553480625152588,1624.0,639.0,1.1455942392349243,0.749313473701477,0.5404640436172485,0.9349179267883301,172527.0,1910.0
16,0.7047753930091858,0.984868586063385,0.7047753930091858,5283.0,2517.0,0.9145982265472412,0.778608500957489,0.6262469291687012,0.9566324949264526,690098.0,8852.0,0.6547821164131165,0.9744260907173157,0.6547821164131165,1491.0,725.0,1.1429654359817505,0.7380780577659607,0.578098475933075,0.9295415878295898,172441.0,2043.0
17,0.7143968939781189,0.985596239566803,0.7143968939781189,5193.0,2384.0,0.8867800831794739,0.7895108461380005,0.6326140761375427,0.9586841464042664,690231.0,8942.0,0.6228070259094238,0.9698102474212646,0.6228070259094238,1584.0,890.0,1.2596551179885864,0.6866196990013123,0.5517826676368713,0.9411431550979614,172276.0,1950.0
18,0.7242306470870972,0.9870172142982483,0.7242306470870972,4929.0,2371.0,0.8424502611160278,0.7951973676681519,0.6512911319732666,0.9639193415641785,690244.0,9206.0,0.6567628979682922,0.9752655625343323,0.6567628979682922,1482.0,756.0,1.1059095859527588,0.7307692170143127,0.5806451439857483,0.9394453763961792,172410.0,2052.0
19,0.7347010970115662,0.9882656335830688,0.7347010970115662,4779.0,2240.0,0.8045229315757751,0.8068299293518066,0.6619030833244324,0.9678811430931091,690375.0,9356.0,0.6228070259094238,0.9670582413673401,0.6228070259094238,1483.0,1072.0,1.2656933069229126,0.6567403078079224,0.5803622007369995,0.9383135437965393,172094.0,2051.0
20,0.7409975528717041,0.9886064529418945,0.7409975528717041,4588.0,2274.0,0.7786269187927246,0.8076304793357849,0.6754156351089478,0.9695082902908325,690341.0,9547.0,0.6590266227722168,0.969905436038971,0.6590266227722168,1417.0,827.0,1.1771022081375122,0.719089686870575,0.5990379452705383,0.9459536075592041,172339.0,2117.0
21,0.757905900478363,0.9898452162742615,0.757905900478363,4343.0,2113.0,0.7357315421104431,0.8225115537643433,0.692748486995697,0.9715599417686462,690502.0,9792.0,0.674872636795044,0.9708151817321777,0.674872636795044,1343.0,818.0,1.126229166984558,0.728148877620697,0.6199773550033569,0.9448217153549194,172348.0,2191.0
22,0.7694375514984131,0.9915268421173096,0.7694375514984131,4049.0,2098.0,0.6849087476730347,0.8278069496154785,0.713547945022583,0.9758754968643188,690517.0,10086.0,0.6635540723800659,0.9704031348228455,0.6635540723800659,1399.0,796.0,1.1617368459701538,0.7284203171730042,0.604131281375885,0.9394453763961792,172370.0,2135.0
23,0.7826671600341797,0.992177426815033,0.7826671600341797,3844.0,1918.0,0.643081545829773,0.8429027795791626,0.728050947189331,0.9785638451576233,690697.0,10291.0,0.6864742636680603,0.971276581287384,0.6864742636680603,1276.0,788.0,1.0931583642959595,0.7413000464439392,0.6389360427856445,0.9493491649627686,172378.0,2258.0
24,0.795613706111908,0.9934556484222412,0.795613706111908,3637.0,1889.0,0.6021292209625244,0.8475013971328735,0.7426954507827759,0.983940601348877,690726.0,10498.0,0.651386559009552,0.9717200398445129,0.651386559009552,1495.0,732.0,1.1705483198165894,0.7358354330062866,0.5769665837287903,0.9354838728904724,172434.0,2039.0
25,0.8111071586608887,0.9943951368331909,0.8111071586608887,3304.0,1786.0,0.5533777475357056,0.8584449291229248,0.7662540078163147,0.9850017428398132,690829.0,10831.0,0.6782682538032532,0.9613944292068481,0.6782682538032532,1269.0,909.0,1.244669795036316,0.7136105895042419,0.6409168243408203,0.9394453763961792,172257.0,2265.0
26,0.8237707614898682,0.9953505396842957,0.8237707614898682,3104.0,1716.0,0.5127190351486206,0.8653801083564758,0.7804032564163208,0.9875486493110657,690899.0,11031.0,0.6411997675895691,0.9550362229347229,0.6411997675895691,1401.0,985.0,1.3966093063354492,0.6840923428535461,0.6035653352737427,0.9301075339317322,172181.0,2133.0
27,0.8391934633255005,0.9954089522361755,0.8391934633255005,2784.0,1600.0,0.46993592381477356,0.8764573931694031,0.8030421137809753,0.9899539947509766,691015.0,11351.0,0.6335597038269043,0.9513630867004395,0.6335597038269043,1417.0,997.0,1.4661130905151367,0.6798329949378967,0.5990379452705383,0.9337860941886902,172169.0,2117.0
28,0.8578705191612244,0.9965429902076721,0.8578705191612244,2446.0,1445.0,0.4092443883419037,0.8899801969528198,0.8269543647766113,0.9934206008911133,691170.0,11689.0,0.676570475101471,0.9597293734550476,0.676570475101471,1284.0,882.0,1.2549281120300293,0.7183908224105835,0.63667231798172,0.9335030913352966,172284.0,2250.0
